gkz,jahr,sum_female_neighbors,total_neighbors,female_neighbor_share,known_neighbor_statuses 
411000,2001,1,12,8.333333333333334,12
411000,2006,1,12,8.333333333333334,12
411000,2011,2,12,16.666666666666668,12
411000,2016,2,12,16.666666666666668,12
412000,2001,2,21,9.523809523809524,21
412000,2006,2,21,9.523809523809524,21
412000,2011,5,21,23.80952380952381,21
412000,2016,5,21,23.80952380952381,21
413000,2001,2,7,28.571428571428573,7
413000,2006,1,7,14.285714285714286,7
413000,2011,1,7,14.285714285714286,7
413000,2016,1,7,14.285714285714286,7
414000,2001,1,9,11.11111111111111,9
414000,2006,2,9,22.22222222222222,9
414000,2011,2,9,22.22222222222222,9
414000,2016,1,9,11.11111111111111,9
431001,2001,0,4,0.0,4
431001,2006,1,4,25.0,4
431001,2011,0,4,0.0,4
431001,2016,0,4,0.0,4
431002,2001,1,8,12.5,8
431002,2006,0,8,0.0,8
431002,2011,0,8,0.0,8
431002,2016,0,8,0.0,8
431003,2001,0,4,0.0,4
431003,2006,0,4,0.0,4
431003,2011,0,4,0.0,4
431003,2016,1,4,25.0,4
431004,2001,0,3,0.0,3
431004,2006,0,3,0.0,3
431004,2011,0,3,0.0,3
431004,2016,0,3,0.0,3
431005,2001,1,4,25.0,4
431005,2006,1,4,25.0,4
431005,2011,1,4,25.0,4
431005,2016,0,4,0.0,4
431006,2001,1,6,16.666666666666668,6
431006,2006,1,6,16.666666666666668,6
431006,2011,1,6,16.666666666666668,6
431006,2016,1,6,16.666666666666668,6
431007,2001,0,7,0.0,7
431007,2006,0,7,0.0,7
431007,2011,0,7,0.0,7
431007,2016,0,7,0.0,7
431008,2001,0,2,0.0,2
431008,2006,1,2,50.0,2
431008,2011,0,2,0.0,2
431008,2016,0,2,0.0,2
431009,2001,0,4,0.0,4
431009,2006,0,4,0.0,4
431009,2011,0,4,0.0,4
431009,2016,0,4,0.0,4
431010,2001,1,3,33.333333333333336,3
431010,2006,1,3,33.333333333333336,3
431010,2011,1,3,33.333333333333336,3
431010,2016,0,3,0.0,3
431011,2001,0,6,0.0,6
431011,2006,0,6,0.0,6
431011,2011,0,6,0.0,6
431011,2016,0,6,0.0,6
431012,2001,0,3,0.0,1
431012,2006,0,3,0.0,1
431012,2011,0,3,0.0,1
431012,2016,0,3,0.0,1
431013,2001,1,4,25.0,4
431013,2006,1,4,25.0,4
431013,2011,1,4,25.0,4
431013,2016,1,4,25.0,4
431014,2001,1,6,16.666666666666668,6
431014,2006,0,6,0.0,6
431014,2011,0,6,0.0,6
431014,2016,0,6,0.0,6
431015,2001,0,6,0.0,6
431015,2006,0,6,0.0,6
431015,2011,0,6,0.0,6
431015,2016,0,6,0.0,6
431016,2001,0,5,0.0,5
431016,2006,0,5,0.0,5
431016,2011,0,5,0.0,5
431016,2016,1,5,20.0,5
431017,2001,0,5,0.0,5
431017,2006,1,5,20.0,5
431017,2011,0,5,0.0,5
431017,2016,0,5,0.0,5
431018,2001,1,2,50.0,1
431018,2006,1,2,50.0,1
431018,2011,0,2,0.0,1
431018,2016,0,2,0.0,1
431019,2001,0,5,0.0,5
431019,2006,0,5,0.0,5
431019,2011,0,5,0.0,5
431019,2016,0,5,0.0,5
431020,2001,0,1,0.0,1
431020,2006,0,1,0.0,1
431020,2011,0,1,0.0,1
431020,2016,0,1,0.0,1
431021,2001,0,6,0.0,5
431021,2006,0,6,0.0,5
431021,2011,0,6,0.0,5
431021,2016,0,6,0.0,5
431022,2001,0,2,0.0,2
431022,2006,0,2,0.0,2
431022,2011,0,2,0.0,2
431022,2016,0,2,0.0,2
431200,2001,1,2,50.0,2
431200,2006,1,2,50.0,2
431200,2011,0,2,0.0,2
431200,2016,0,2,0.0,2
432001,2001,1,5,20.0,5
432001,2006,0,5,0.0,5
432001,2011,0,5,0.0,5
432001,2016,0,5,0.0,5
432002,2001,0,7,0.0,7
432002,2006,2,7,28.571428571428573,7
432002,2011,2,7,28.571428571428573,7
432002,2016,1,7,14.285714285714286,7
432003,2001,1,4,25.0,4
432003,2006,0,4,0.0,4
432003,2011,0,4,0.0,4
432003,2016,0,4,0.0,4
432004,2001,0,4,0.0,4
432004,2006,0,4,0.0,4
432004,2011,0,4,0.0,4
432004,2016,0,4,0.0,4
432005,2001,0,5,0.0,5
432005,2006,0,5,0.0,5
432005,2011,1,5,20.0,5
432005,2016,0,5,0.0,5
432006,2001,0,4,0.0,4
432006,2006,0,4,0.0,4
432006,2011,0,4,0.0,4
432006,2016,0,4,0.0,4
432007,2001,0,4,0.0,4
432007,2006,0,4,0.0,4
432007,2011,0,4,0.0,4
432007,2016,0,4,0.0,4
432008,2001,0,6,0.0,6
432008,2006,0,6,0.0,6
432008,2011,0,6,0.0,6
432008,2016,0,6,0.0,6
432009,2001,0,6,0.0,6
432009,2006,0,6,0.0,6
432009,2011,0,6,0.0,6
432009,2016,0,6,0.0,6
432010,2001,0,8,0.0,8
432010,2006,0,8,0.0,8
432010,2011,1,8,12.5,8
432010,2016,0,8,0.0,8
432011,2001,0,7,0.0,7
432011,2006,1,7,14.285714285714286,7
432011,2011,1,7,14.285714285714286,7
432011,2016,1,7,14.285714285714286,7
432012,2001,0,7,0.0,7
432012,2006,0,7,0.0,7
432012,2011,0,7,0.0,7
432012,2016,0,7,0.0,7
432013,2001,1,7,14.285714285714286,7
432013,2006,0,7,0.0,7
432013,2011,1,7,14.285714285714286,7
432013,2016,1,7,14.285714285714286,7
432014,2001,1,4,25.0,4
432014,2006,0,4,0.0,4
432014,2011,0,4,0.0,4
432014,2016,0,4,0.0,4
432015,2001,0,5,0.0,5
432015,2006,0,5,0.0,5
432015,2011,1,5,20.0,5
432015,2016,0,5,0.0,5
432016,2001,0,6,0.0,6
432016,2006,1,6,16.666666666666668,6
432016,2011,2,6,33.333333333333336,6
432016,2016,2,6,33.333333333333336,6
432017,2001,0,5,0.0,5
432017,2006,0,5,0.0,5
432017,2011,0,5,0.0,5
432017,2016,0,5,0.0,5
432018,2001,1,6,16.666666666666668,6
432018,2006,0,6,0.0,6
432018,2011,0,6,0.0,6
432018,2016,0,6,0.0,6
432019,2001,0,6,0.0,6
432019,2006,1,6,16.666666666666668,6
432019,2011,1,6,16.666666666666668,6
432019,2016,1,6,16.666666666666668,6
432020,2001,0,4,0.0,4
432020,2006,0,4,0.0,4
432020,2011,0,4,0.0,4
432020,2016,0,4,0.0,4
432021,2001,0,2,0.0,2
432021,2006,0,2,0.0,2
432021,2011,1,2,50.0,2
432021,2016,0,2,0.0,2
432022,2001,0,8,0.0,8
432022,2006,0,8,0.0,8
432022,2011,1,8,12.5,8
432022,2016,1,8,12.5,8
432023,2001,0,5,0.0,5
432023,2006,0,5,0.0,5
432023,2011,0,5,0.0,5
432023,2016,0,5,0.0,5
433001,2001,0,3,0.0,3
433001,2006,0,3,0.0,3
433001,2011,0,3,0.0,3
433001,2016,0,3,0.0,3
433002,2001,0,3,0.0,3
433002,2006,1,3,33.333333333333336,3
433002,2011,1,3,33.333333333333336,3
433002,2016,0,3,0.0,3
433003,2001,0,4,0.0,4
433003,2006,0,4,0.0,4
433003,2011,0,4,0.0,4
433003,2016,0,4,0.0,4
433004,2001,0,8,0.0,8
433004,2006,0,8,0.0,8
433004,2011,0,8,0.0,8
433004,2016,0,8,0.0,8
433005,2001,0,5,0.0,5
433005,2006,1,5,20.0,5
433005,2011,2,5,40.0,5
433005,2016,1,5,20.0,5
433006,2001,0,6,0.0,6
433006,2006,0,6,0.0,6
433006,2011,0,6,0.0,6
433006,2016,0,6,0.0,6
433007,2001,1,3,33.333333333333336,3
433007,2006,1,3,33.333333333333336,3
433007,2011,2,3,66.66666666666667,3
433007,2016,1,3,33.333333333333336,3
433008,2001,1,10,10.0,10
433008,2006,1,10,10.0,10
433008,2011,1,10,10.0,10
433008,2016,0,10,0.0,10
433009,2001,0,4,0.0,4
433009,2006,0,4,0.0,4
433009,2011,0,4,0.0,4
433009,2016,0,4,0.0,4
433010,2001,1,5,20.0,5
433010,2006,1,5,20.0,5
433010,2011,2,5,40.0,5
433010,2016,1,5,20.0,5
433011,2001,0,7,0.0,7
433011,2006,0,7,0.0,7
433011,2011,0,7,0.0,7
433011,2016,0,7,0.0,7
433012,2001,1,9,11.11111111111111,9
433012,2006,2,9,22.22222222222222,9
433012,2011,3,9,33.333333333333336,9
433012,2016,1,9,11.11111111111111,9
433013,2001,0,2,0.0,2
433013,2006,0,2,0.0,2
433013,2011,0,2,0.0,2
433013,2016,0,2,0.0,2
433014,2001,0,5,0.0,5
433014,2006,0,5,0.0,5
433014,2011,0,5,0.0,5
433014,2016,0,5,0.0,5
434001,2001,1,7,14.285714285714286,7
434001,2006,1,7,14.285714285714286,7
434001,2011,1,7,14.285714285714286,7
434001,2016,0,7,0.0,7
434002,2001,0,3,0.0,3
434002,2006,1,3,33.333333333333336,3
434002,2011,0,3,0.0,3
434002,2016,0,3,0.0,3
434003,2001,0,6,0.0,6
434003,2006,0,6,0.0,6
434003,2011,0,6,0.0,6
434003,2016,0,6,0.0,6
434004,2001,0,5,0.0,5
434004,2006,0,5,0.0,5
434004,2011,0,5,0.0,5
434004,2016,0,5,0.0,5
434005,2001,1,7,14.285714285714286,7
434005,2006,1,7,14.285714285714286,7
434005,2011,1,7,14.285714285714286,7
434005,2016,2,7,28.571428571428573,7
434006,2001,0,5,0.0,5
434006,2006,0,5,0.0,5
434006,2011,1,5,20.0,5
434006,2016,1,5,20.0,5
434007,2001,0,4,0.0,4
434007,2006,1,4,25.0,4
434007,2011,0,4,0.0,4
434007,2016,0,4,0.0,4
434008,2001,1,6,16.666666666666668,6
434008,2006,2,6,33.333333333333336,6
434008,2011,1,6,16.666666666666668,6
434008,2016,0,6,0.0,6
434009,2001,1,7,14.285714285714286,7
434009,2006,1,7,14.285714285714286,7
434009,2011,0,7,0.0,7
434009,2016,1,7,14.285714285714286,7
434010,2001,1,4,25.0,4
434010,2006,1,4,25.0,4
434010,2011,1,4,25.0,4
434010,2016,0,4,0.0,4
434011,2001,0,7,0.0,7
434011,2006,0,7,0.0,7
434011,2011,0,7,0.0,7
434011,2016,0,7,0.0,7
434012,2001,0,7,0.0,7
434012,2006,1,7,14.285714285714286,7
434012,2011,0,7,0.0,7
434012,2016,0,7,0.0,7
434013,2001,0,7,0.0,7
434013,2006,0,7,0.0,7
434013,2011,0,7,0.0,7
434013,2016,0,7,0.0,7
435001,2001,0,5,0.0,4
435001,2006,0,5,0.0,4
435001,2011,0,5,0.0,4
435001,2016,0,5,0.0,4
435002,2001,0,7,0.0,6
435002,2006,0,7,0.0,6
435002,2011,1,7,14.285714285714286,6
435002,2016,0,7,0.0,6
435003,2001,0,6,0.0,6
435003,2006,0,6,0.0,6
435003,2011,1,6,16.666666666666668,6
435003,2016,0,6,0.0,6
435004,2001,0,7,0.0,7
435004,2006,0,7,0.0,7
435004,2011,0,7,0.0,7
435004,2016,0,7,0.0,7
435005,2001,0,4,0.0,4
435005,2006,0,4,0.0,4
435005,2011,0,4,0.0,4
435005,2016,0,4,0.0,4
435006,2001,2,6,33.333333333333336,6
435006,2006,1,6,16.666666666666668,6
435006,2011,1,6,16.666666666666668,6
435006,2016,2,6,33.333333333333336,6
435007,2001,1,5,20.0,5
435007,2006,1,5,20.0,5
435007,2011,1,5,20.0,5
435007,2016,1,5,20.0,5
435008,2001,0,2,0.0,2
435008,2006,0,2,0.0,2
435008,2011,0,2,0.0,2
435008,2016,0,2,0.0,2
435009,2001,0,3,0.0,3
435009,2006,0,3,0.0,3
435009,2011,0,3,0.0,3
435009,2016,0,3,0.0,3
435010,2001,0,5,0.0,5
435010,2006,0,5,0.0,5
435010,2011,0,5,0.0,5
435010,2016,0,5,0.0,5
435011,2001,1,2,50.0,2
435011,2006,0,2,0.0,2
435011,2011,0,2,0.0,2
435011,2016,0,2,0.0,2
435012,2001,0,6,0.0,6
435012,2006,0,6,0.0,6
435012,2011,0,6,0.0,6
435012,2016,0,6,0.0,6
435013,2001,0,6,0.0,6
435013,2006,1,6,16.666666666666668,6
435013,2011,1,6,16.666666666666668,6
435013,2016,1,6,16.666666666666668,6
435014,2001,1,9,11.11111111111111,9
435014,2006,0,9,0.0,9
435014,2011,0,9,0.0,9
435014,2016,2,9,22.22222222222222,9
435015,2001,0,6,0.0,6
435015,2006,0,6,0.0,6
435015,2011,0,6,0.0,6
435015,2016,0,6,0.0,6
435016,2001,0,5,0.0,4
435016,2006,0,5,0.0,4
435016,2011,1,5,20.0,4
435016,2016,0,5,0.0,4
435017,2001,0,6,0.0,6
435017,2006,1,6,16.666666666666668,6
435017,2011,1,6,16.666666666666668,6
435017,2016,1,6,16.666666666666668,6
