gkz,neighbor_gkz
411000,432006
411000,432008
411000,432011
411000,432012
411000,432014
411000,432016
411000,432018
411000,432020
411000,432022
411000,432023
411000,438003
411000,438006
412000,413000
412000,433007
412000,433008
412000,433010
412000,433012
412000,434001
412000,434008
412000,434010
412000,435019
412000,435022
412000,436003
412000,436005
412000,436007
412000,436008
412000,436009
412000,436010
412000,436011
412000,436012
412000,438009
412000,440003
412000,440012
413000,412000
413000,435019
413000,438002
413000,438005
413000,438008
413000,438009
413000,438010
414000,433005
414000,436002
414000,436006
414000,436007
414000,439003
414000,439011
414000,439014
414000,439015
414000,439017
431001,431004
431001,431008
431001,431017
431001,431021
431002,431006
431002,431011
431002,431014
431002,431016
431002,431022
431002,432001
431002,432022
431002,433004
431003,431005
431003,431006
431003,431010
431003,431013
431004,431001
431004,431008
431004,431017
431005,431003
431005,431006
431005,431013
431005,431016
431006,431002
431006,431003
431006,431005
431006,431010
431006,431016
431006,433004
431007,431009
431007,431011
431007,431014
431007,431015
431007,431019
431007,437012
431007,437013
431008,431001
431008,431004
431009,431007
431009,431019
431009,431021
431009,437012
431010,431003
431010,431006
431010,433004
431011,431002
431011,431007
431011,431014
431011,431016
431011,431017
431011,431019
431012,431018
431012,431200
431012,437016
431013,431003
431013,431005
431013,431016
431013,431020
431014,431002
431014,431007
431014,431011
431014,431015
431014,432013
431014,432022
431015,431007
431015,431014
431015,432007
431015,432013
431015,437007
431015,437013
431016,431002
431016,431005
431016,431006
431016,431011
431016,431013
431017,431001
431017,431004
431017,431011
431017,431019
431017,431021
431018,431012
431018,431200
431019,431007
431019,431009
431019,431011
431019,431017
431019,431021
431020,431013
431021,431001
431021,431009
431021,431017
431021,431019
431021,437012
431021,437016
431022,431002
431022,432001
431200,431012
431200,431018
432001,431002
432001,431022
432001,432003
432001,432022
432001,433004
432002,432005
432002,432010
432002,432015
432002,432021
432002,438007
432002,438011
432002,438013
432003,432001
432003,432018
432003,432022
432003,433004
432004,432010
432004,432011
432004,432012
432004,432015
432005,432002
432005,432012
432005,432015
432005,438011
432005,438012
432006,411000
432006,432023
432006,433008
432006,438003
432007,431015
432007,432009
432007,432013
432007,437007
432008,411000
432008,432018
432008,432023
432008,433003
432008,433006
432008,433011
432009,432007
432009,432013
432009,432016
432009,432019
432009,437003
432009,437007
432010,432002
432010,432004
432010,432011
432010,432015
432010,432017
432010,432021
432010,437004
432010,437009
432011,411000
432011,432004
432011,432010
432011,432012
432011,432017
432011,432019
432011,432020
432012,411000
432012,432004
432012,432005
432012,432011
432012,432015
432012,438002
432012,438012
432013,431014
432013,431015
432013,432007
432013,432009
432013,432014
432013,432016
432013,432022
432014,411000
432014,432013
432014,432016
432014,432022
432015,432002
432015,432004
432015,432005
432015,432010
432015,432012
432016,411000
432016,432009
432016,432013
432016,432014
432016,432019
432016,432020
432017,432010
432017,432011
432017,432019
432017,437003
432017,437009
432018,411000
432018,432003
432018,432008
432018,432022
432018,433004
432018,433011
432019,432009
432019,432011
432019,432016
432019,432017
432019,432020
432019,437003
432020,411000
432020,432011
432020,432016
432020,432019
432021,432002
432021,432010
432022,411000
432022,431002
432022,431014
432022,432001
432022,432003
432022,432013
432022,432014
432022,432018
432023,411000
432023,432006
432023,432008
432023,433003
432023,433008
433001,433004
433001,433011
433001,433013
433002,433005
433002,433012
433002,436006
433003,432008
433003,432023
433003,433006
433003,433008
433004,431002
433004,431006
433004,431010
433004,432001
433004,432003
433004,432018
433004,433001
433004,433011
433005,414000
433005,433002
433005,433012
433005,433014
433005,436006
433006,432008
433006,433003
433006,433008
433006,433009
433006,433011
433006,433014
433007,412000
433007,433010
433007,436005
433008,412000
433008,432006
433008,432023
433008,433003
433008,433006
433008,433009
433008,433012
433008,438003
433008,438006
433008,438009
433009,433006
433009,433008
433009,433012
433009,433014
433010,412000
433010,433007
433010,433012
433010,436004
433010,436005
433011,432008
433011,432018
433011,433001
433011,433004
433011,433006
433011,433013
433011,433014
433012,412000
433012,433002
433012,433005
433012,433008
433012,433009
433012,433010
433012,433014
433012,436004
433012,436006
433013,433001
433013,433011
433014,433005
433014,433006
433014,433009
433014,433011
433014,433012
434001,412000
434001,434002
434001,434007
434001,434008
434001,434012
434001,440012
434001,440023
434002,434001
434002,434012
434002,440023
434003,434005
434003,434009
434003,436002
434003,436008
434003,439008
434003,439016
434004,434011
434004,434013
